"Source:","/Users/jkua/Dropbox/Projects/wheelwriter-interface/pcb/WheelwriterInterfaceBoard.kicad_sch"
"Date:","Sunday, August 04, 2024 at 02:24:00 PM"
"Tool:","Eeschema 7.0.9"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","27"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","A1","Arduino_Nano_RP2040_Connect_Socket","PCM_arduino-library:Arduino_Nano_RP2040_Connect_Socket","PCM_arduino-library:Arduino_Nano_Every_Socket","https://docs.arduino.cc/hardware/nano-rp2040-connect",""
"2","2","C1, C2","0.1uF, 16V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"3","2","C3, C4","10uF, 16V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"4","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_160mil","~",""
"5","1","J1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_Molex_JK:Molex SL 70541-0009","~",""
"6","1","J2","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~",""
"7","1","J3","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"8","2","J4, J5","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"9","1","PS1","~","Regulator_Switching:CC10-0505Sx-E","Converter_DCDC:Converter_DCDC_TDK-Lambda_CC10(R)","",""
"10","1","Q1","2N7002","Transistor_FET:2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF",""
"11","4","R1, R2, R3, R4","4.7K","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"12","6","TP1, TP2, TP3, TP4, TP5, TP6","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~",""
"13","1","U1","ISO1540","Isolator:ISO1540","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/iso1541.pdf",""
