Wheel Address	001 (US)		"026,029 (Germany)"		"067,253 (UK?)"		070 (Spain)		103 (ASCII)	
	Character	ASCII	Character	ASCII	Character	ASCII	Character	ASCII	Character	ASCII
00	<space>	20	<space>	20	<space>	20	<space>	20	<space>	20
01	a	61	a	61	a	61	a	61	a	61
02	n	6E	n	6E	n	6E	n	6E	n	6E
03	r	72	r	72	r	72	r	72	r	72
04	m	6D	m	6D	m	6D	m	6D	m	6D
05	c	63	c	63	c	63	c	63	c	63
06	s	73	s	73	s	73	s	73	s	73
07	d	64	d	64	d	64	d	64	d	64
08	h	68	h	68	h	68	h	68	h	68
09	l	6C	l	6C	l	6C	l	6C	l	6C
0A	f	66	f	66	f	66	f	66	f	66
0B	k	6B	k	6B	k	6B	k	6B	k	6B
0C	","	2C	","	2C	","	2C	","	2C	","	2C
0D	V	56	V	56	V	56	V	56	V	56
0E	-	2D	-	2D	-	2D	-	2D	-	2D
0F	G	47	G	47	G	47	G	47	G	47
10	U	55	U	55	U	55	U	55	U	55
11	F	46	F	46	F	46	F	46	F	46
12	B	42	B	42	B	42	B	42	B	42
13	Z	5A	Z	5A	Z	5A	Z	5A	Z	5A
14	H	48	H	48	H	48	H	48	H	48
15	P	50	P	50	P	50	P	50	P	50
16	)	29	)	29	)	29	)	29	)	29
17	R	52	R	52	R	52	R	52	R	52
18	L	4C	L	4C	L	4C	L	4C	L	4C
19	S	53	S	53	S	53	S	53	S	53
1A	N	4E	N	4E	N	4E	N	4E	N	4E
1B	C	43	C	43	C	43	C	43	C	43
1C	T	54	T	54	T	54	T	54	T	54
1D	D	44	D	44	D	44	D	44	D	44
1E	E	45	E	45	E	45	E	45	E	45
1F	I	49	I	49	I	49	I	49	I	49
20	A	41	A	41	A	41	A	41	A	41
21	J	4A	J	4A	J	4A	J	4A	J	4A
22	O	4F	O	4F	O	4F	O	4F	O	4F
23	(	28	(	28	(	28	(	28	(	28
24	M	4D	M	4D	M	4D	M	4D	M	4D
25	.	2E	 ̀	0300	.	2E	 ̀	0300	.	2E
26	Y	59	Y	59	Y	59	Y	59	Y	59
27	","	2C	 ́	0301	","	2C	 ́	0301	","	2C
28	/	2F	/	2F	/	2F	/	2F	/	2F
29	W	57	W	57	W	57	W	57	W	57
2A	9	39	9	39	9	39	9	39	9	39
2B	K	4B	K	4B	K	4B	K	4B	K	4B
2C	3	33	3	33	3	33	3	33	3	33
2D	X	58	X	58	X	58	X	58	X	58
2E	1	31	1	31	1	31	1	31	1	31
2F	2	32	2	32	2	32	2	32	2	32
30	0	30	0	30	0	30	0	30	0	30
31	5	35	5	35	5	35	5	35	5	35
32	4	34	4	34	4	34	4	34	4	34
33	6	36	6	36	6	36	6	36	6	36
34	8	38	8	38	8	38	8	38	8	38
35	7	37	7	37	7	37	7	37	7	37
36	*	2A	*	2A	*	2A	*	2A	*	2A
37	$	24	$	24	$	24	$	24	$	24
38	#	23	#	23	#	23	Ñ	D1	#	23
39	%	25	%	25	%	25	%	25	%	25
3A	¢	A2	ü	FC	µ	B5	¿	BF	^	5E
3B	+	2B	+	2B	+	2B	+	2B	+	2B
3C	±	B1	Ü	DC	±	B1	¨	A8	`	60
3D	@	40	Ä	C4	@	40	·	B7	@	40
3E	Q	51	Q	51	Q	51	Q	51	Q	51
3F	&	26	&	26	&	26	&	26	&	26
40	]	5D	ß	DF	]	5D	¡	A1	]	5D
41	[	5B	µ	B5	[	5B	º	BA	[	5B
42	³	B3	³	B3	³	B3	Ç	C7	\	5C
43	²	B2	²	B2	²	B2	ç	E7	|	7C
44	°	B0	°	B0	°	B0	ª	AA	~	7E
45	§	A7	§	A7	<	3C	<	3C	<	3C
46	¶	B6	Ö	D6	£	A3	>	3E	>	3E
47	½	BD	ö	F6	½	BD	ñ	F1	}	7D
48	¼	BC	ä	E4	>	3E	 ̂	0302	{	7B
49	!	21	!	21	!	21	!	21	!	21
4A	?	3F	?	3F	?	3F	?	3F	?	3F
4B	""""	22	""""	22	""""	22	""""	22	""""	22
4C	'	27	'	27	'	27	'	27	'	27
4D	=	3D	=	3D	=	3D	=	3D	=	3D
4E	:	3A	:	3A	:	3A	:	3A	:	3A
4F	_	5F	_	5F	_	5F	_	5F	_	5F
50	;	3B	;	3B	;	3B	;	3B	;	3B
51	x	78	x	78	x	78	x	78	x	78
52	q	71	q	71	q	71	q	71	q	71
53	v	76	v	76	v	76	v	76	v	76
54	z	7A	z	7A	z	7A	z	7A	z	7A
55	w	77	w	77	w	77	w	77	w	77
56	j	6A	j	6A	j	6A	j	6A	j	6A
57	.	2E	.	2E	.	2E	.	2E	.	2E
58	y	79	y	79	y	79	y	79	y	79
59	b	62	b	62	b	62	b	62	b	62
5A	g	67	g	67	g	67	g	67	g	67
5B	u	75	u	75	u	75	u	75	u	75
5C	p	70	p	70	p	70	p	70	p	70
5D	i	69	i	69	i	69	i	69	i	69
5E	t	74	t	74	t	74	t	74	t	74
5F	o	6F	o	6F	o	6F	o	6F	o	6F
60	e	65	e	65	e	65	e	65	e	65
